code,label,broad_domain_code,broad_domain_label,available_in_indicator_data,domain_role
ADAPT_WATRES_SUP_COL,"Water collection (rain, surface and ground-water)",ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_SUP_DES,Water desalination,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_SUP_FIL,Water filtration; Water and wastewater treatment,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_SUP_PRO,Protecting water resources,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
ADAPT_WATRES_SUP_ST,Water storage and distribution,ADAPT,Climate change adaptation technologies,False,metadata subdomain under available broad domain
BUILD_ARC,Architectural or constructional elements improving the thermal performance of buildings,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENA,Enabling technologies in buildings,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE,Energy efficiency in buildings,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE_APP,Energy efficiency in home appliances,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE_END,End-user side,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE_HVAC,"Energy efficient heating, ventilation or air conditioning [HVAC]",BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE_LIFT,"Energy efficient elevators, escalators and moving walkways, e.g. energy saving or recuperation technologies",BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_ENE_LIGHT,Energy efficient lighting,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_INT,Integration of renewable energy sources in buildings,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
BUILD_NEC,Not elsewhere classified,BUILD,Climate change mitigation technologies related to buildings,False,metadata subdomain under available broad domain
ENE_COM,"Combustion technologies with mitigation potential (e.g. using fossil fuels, biomass, waste, etc.)",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_COM_INP,Technologies for improved input efficiency (efficient combustion or heat usage),ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_COM_OUT,"Technologies for improved output efficiency (combined heat and power, combined cycles, etc.)",ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA,Enabling technologies (technologies with potential or indirect contribution to GHG emission mitigation),ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_CE,Fuel cells,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_HV,High-voltage direct current transmission,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_HY,Hydrogen technology,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
ENE_ENA_STO,Energy storage,ENE,"Climate change mitigation technologies related to energy generation, transmission or distribution",False,metadata subdomain under available broad domain
