dataset_id,variable,source_variable,source,source_url,source_domain,download_status,file_format,file_exists,file_size_bytes_actual,sha256,actual_rows,actual_columns,manifest_rows,manifest_columns,shape_matches_manifest,expected_columns_present,observed_structure,reliability_status,audit_notes,variable_group,observations_total,non_missing_observations,missing_observations,entities_total,entities_with_data,years_total,years_with_data,first_year,last_year,source_series_count,country_code_complete_share
world_bank_wdi,co2_per_capita_ar5,EN.GHG.CO2.PC.CE.AR5,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/EN.GHG.CO2.PC.CE.AR5?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,875598,87c701a6e6bea944d3534750e02f65602e41ed3729011aa87a4fb4f45f14c69d,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Energy system,7770,7245,525,222,207,35,35,1990,2024,1,0.9806763285024155
world_bank_wdi,energy_imports_net,EG.IMP.CONS.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/EG.IMP.CONS.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,774237,80ef02d2c423de48b353253208612562261ca427d2409167c53636288bff3071,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Energy system,7770,4534,3236,222,149,35,34,1990,2023,1,0.97022496691663
world_bank_wdi,fdi_net_inflows,BX.KLT.DINV.CD.WD,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/BX.KLT.DINV.CD.WD?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,797533,02799a7f977e65002c76d558fc4437165fd2996b06c2a3edc3f1c8f9109c56a3,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Policy and macro conditions,7770,6790,980,222,207,35,35,1990,2024,1,0.979381443298969
world_bank_wdi,fossil_energy_share,EG.USE.COMM.FO.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/EG.USE.COMM.FO.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,798946,3573aef23160984ebe81ccf917e43620e4bbfa27aff225ce5c5f012827af1959,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Energy system,7770,5117,2653,222,183,35,35,1990,2024,1,0.9728356458862615
world_bank_wdi,gdp_per_capita_current_usd,NY.GDP.PCAP.CD,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/NY.GDP.PCAP.CD?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,892825,3bab8f3d89af11800afb5d7cbd0d9ea3d28aca9eaa14373ac9ba6f8a0108349b,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Policy and macro conditions,7770,7346,424,222,218,35,35,1990,2024,1,0.9809420092567384
world_bank_wdi,high_tech_exports,TX.VAL.TECH.MF.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/TX.VAL.TECH.MF.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,748783,6a4e7950bba1db9871df770d8225eee79fbec0d1b3745e074bccd3998c533a3b,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,R&D and knowledge capacity,7770,2724,5046,222,190,35,18,2007,2024,1,0.9783406754772394
world_bank_wdi,inflation,FP.CPI.TOTL.ZG,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/FP.CPI.TOTL.ZG?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,691216,082dd257734ad36b5350c1617126ec9f7a703829a8ce6360b43024611f782b20,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Policy and macro conditions,7770,6015,1755,222,193,35,35,1990,2024,1,1.0
world_bank_wdi,rd_expenditure_gdp,GB.XPD.RSDV.GD.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/GB.XPD.RSDV.GD.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,733879,4c9b0145579f29c267d6c92dee0bfb628457199253a6c47267d8b007b6f2d217,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,R&D and knowledge capacity,7770,2526,5244,222,159,35,29,1996,2024,1,0.9766429136975455
world_bank_wdi,renewable_energy_share,EG.FEC.RNEW.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/EG.FEC.RNEW.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,762573,9f638299debd3aade0ce6ad476a1497ebac8d4c932cce3e0d9fa82eb49f0e22e,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Energy system,7770,6870,900,222,216,35,33,1990,2022,1,0.9819505094614265
world_bank_wdi,researchers_per_million,SP.POP.SCIE.RD.P6,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/SP.POP.SCIE.RD.P6?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,777993,163218c715103b9d8a5c1ea58173509e3fc107326490ef652d8e8a4faaf74c97,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,R&D and knowledge capacity,7770,2026,5744,222,148,35,29,1996,2024,1,0.9738400789733465
world_bank_wdi,scientific_journal_articles,IP.JRN.ARTC.SC,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/IP.JRN.ARTC.SC?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,807616,d75657ebb42a9f9e4e17dae3fa635460e195290cda818a25655f81c280a34b9f,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,R&D and knowledge capacity,7770,5427,2343,222,201,35,27,1996,2022,1,0.9800995024875622
world_bank_wdi,tertiary_enrollment,SE.TER.ENRR,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/SE.TER.ENRR?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,742790,a22292e7d7d44763b5e04e1b8888466df54d31f58f784ea752583767f0880770,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,R&D and knowledge capacity,7770,3982,3788,222,204,35,35,1990,2024,1,0.9678553490708187
world_bank_wdi,trade_openness,NE.TRD.GNFS.ZS,World Bank World Development Indicators,https://api.worldbank.org/v2/country/all/indicator/NE.TRD.GNFS.ZS?format=json&per_page=20000&date=1990:2024&source=2,api.worldbank.org,downloaded,csv,True,756046,35a1b9765fd21a5a6227a9d9e8e364fadd5fa8c97fbd80fb8ae2f1087c041800,9310,7,9310,7,True,True,world_bank_wdi,confirmed,,Policy and macro conditions,7770,6083,1687,222,195,35,35,1990,2024,1,0.9771494328456354
world_bank_wgi,wgi_regulatory_quality,GOV_WGI_RQ.EST,World Bank Worldwide Governance Indicators,https://api.worldbank.org/v2/country/all/indicator/GOV_WGI_RQ.EST?format=json&per_page=20000&date=1990:2024&source=3,api.worldbank.org,downloaded,csv,True,469514,000bd1d901a7b9eca39518dbeac93a9eedbc8a18715897842a293a31f818fb9a,5616,7,5616,7,True,True,world_bank_wgi,confirmed,,Policy and macro conditions,5616,5341,275,216,214,26,26,1996,2024,1,0.9677962928290582
