year,n_test,mae,rmse,mean_error,median_absolute_error
2021,108,0.9217641468706184,2.093689996879438,-0.27292965754134046,0.4102990844053028
2022,105,1.0565416045070313,2.4672326189914746,-0.31848869629455273,0.44022746538230034
2023,99,1.146573644029405,2.6758146735564177,-0.352739900088792,0.49017218056058526
