fold_id,panel_id,target_column,lag_suffix,best_model,train_year_start,train_year_end,validation_year_start,validation_year_end,test_year_start,test_year_end,validation_mae,test_mae,test_rmse,test_oos_r2_vs_train_mean,test_spearman,n_test,best_historical_baseline_model,best_historical_baseline_mae,delta_mae_selected_minus_best_history,beats_best_historical_baseline
fold_1,main,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,1999,2004,2005,2006,2007,2009,0.8687548064028592,0.8684120224430975,2.1599017148706277,0.6306256100835618,0.8212933823037338,326,country_last_pretest_holdconstant,0.1615757874998649,0.7068362349432326,False
fold_2,main,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,1999,2007,2008,2009,2010,2012,0.8306973036416595,0.8378504967903542,2.1645176111341495,0.6041108664353734,0.8347450889672778,335,country_last_pretest_holdconstant,0.11526634161753471,0.7225841551728195,False
fold_3,main,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,1999,2010,2011,2012,2013,2015,0.8076654303999811,0.79705431722539,2.002638093054007,0.6532140891922682,0.7471870082425636,345,country_last_pretest_holdconstant,0.0977900958167991,0.6992642214085909,False
fold_4,main,env_patent_share_inventions,lag1_3_mean,lasso_alpha_0.1,1999,2013,2014,2015,2016,2018,0.8065415729710351,0.8370811229163816,1.9735339767910318,0.6490803662896165,0.7216065126221286,338,country_last_pretest_holdconstant,0.10812322730721044,0.7289578956091711,False
fold_5,main,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,1999,2016,2017,2018,2019,2021,0.792678638740378,0.8740750922720856,1.984673628971932,0.6594189523467642,0.8294719910238811,335,country_last_pretest_holdconstant,0.19112934456372727,0.6829457477083583,False
fold_6,main,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,1999,2019,2020,2021,2022,2023,0.8875164817584238,1.092190155101847,2.5848321278511426,0.649116303453209,0.8219280904060444,204,country_last_pretest_holdconstant,0.23600637276519607,0.8561837823366508,False
