panel_id,panel_label,panel_role,target_column,lag_suffix,best_model,feature_columns,rows,countries,train_year_start,train_year_end,validation_year_start,validation_year_end,test_year_start,test_year_end,validation_mae,validation_rmse,test_mae,test_rmse,test_oos_r2_vs_train_mean,test_spearman,n_test,comparison_scope
main,Main v2 model,main,env_patent_share_inventions,lag1_3_mean,elastic_net_alpha_1_l1_0.2,9,2612,174,1999,2018,2019,2020,2021,2023,0.808687243765443,1.804720685185077,1.0384557278659492,2.416171730187962,0.6588600848860342,0.8382202193375337,312,own_sample_not_direct_ranking
suba,Submodel A: RISE and high-tech exports,mechanism_submodel,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,3,1031,128,2013,2020,2021,2021,2022,2023,1.658055787634329,3.9561275654981385,1.7532451700734686,4.719537685962134,4.3893642070358396e-05,,173,own_sample_not_direct_ranking
subb,"Submodel B: R&D, co-invention, and tax",mechanism_submodel,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,5,2352,119,1999,2018,2019,2020,2021,2023,1.4218422948470943,3.080680528077155,1.6164528055889615,3.9933256541709268,0.14719691036462446,0.6606854612823279,284,own_sample_not_direct_ranking
subc,Submodel C: OECD EPS,mechanism_submodel,env_patent_share_inventions,lag1_3_mean,lasso_alpha_1,1,1154,40,1993,2015,2016,2017,2018,2021,3.3795722297283093,5.238619312055904,3.3949382314038994,5.298907662831587,0.005630696582187733,0.41838675005975734,160,own_sample_not_direct_ranking
