spec_id,target,lag_scheme,panel,sample_rule,imputation_rule,model_family,model_grid,scaling_note,selection_metric,primary_or_robustness,design_reason
main,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,main,active_v2_panel_or_mechanism_submodel
suba,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_suba_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,mechanism_submodel,active_v2_panel_or_mechanism_submodel
subb,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_subb_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,mechanism_submodel,active_v2_panel_or_mechanism_submodel
subc,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_subc_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,mechanism_submodel,active_v2_panel_or_mechanism_submodel
robust_main_share_lag1_3_mean,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,robustness_primary_anchor,lag_timing_or_alternative_target_robustness
robust_main_share_lag1,env_patent_share_inventions,lag1,2_data/processed/model_panels/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,robustness_timing,lag_timing_or_alternative_target_robustness
robust_main_per_million_lag1_3_mean,env_patents_per_million,lag1_3_mean,2_data/processed/model_panels/robustness/env_patents_per_million/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,robustness_target,lag_timing_or_alternative_target_robustness
robust_main_per_million_lag1,env_patents_per_million,lag1,2_data/processed/model_panels/robustness/env_patents_per_million/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,no_imputation_panel_with_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,robustness_target_timing,lag_timing_or_alternative_target_robustness
robust_main_share_skew_transformed_lag1_3_mean,env_patent_share_inventions,lag1_3_mean,2_data/processed/model_panels/v2/model_panel_main_no_imputation.csv,chronological_80_10_10_by_distinct_target_year,deterministic_skew_transform_then_train_fold_median_imputation_inside_sklearn_pipeline,OLS_Ridge_Lasso_ElasticNet,"OLS; Ridge alpha=[0.1,1,10]; Lasso alpha=[0.001,0.01,0.1,1]; ElasticNet alpha=[0.001,0.01,0.1,1], l1_ratio=[0.2,0.5,0.8]","predictors are median-imputed and standardized inside each pipeline; target is not standardized, so regularization alpha is target-scale dependent",validation_mae,robustness_transform,skewed_predictor_scale_robustness_before_nonlinear_models
