comparison_group,comparison_scope,baseline_panel_id,baseline_label,baseline_best_model,baseline_feature_columns,augmented_panel_id,augmented_label,augmented_best_model,augmented_feature_columns,rows,countries,test_year_start,test_year_end,baseline_validation_mae,augmented_validation_mae,delta_validation_mae_augmented_minus_baseline,baseline_test_mae,augmented_test_mae,delta_test_mae_augmented_minus_baseline,improves_primary_test_mae,baseline_test_rmse,augmented_test_rmse,baseline_test_oos_r2_vs_train_mean,augmented_test_oos_r2_vs_train_mean,baseline_test_spearman,augmented_test_spearman
suba,same_sample_nested,main_on_suba,Main controls on SUBA sample,elastic_net_alpha_1_l1_0.2,9,main_plus_suba,Main controls plus SUBA predictors,elastic_net_alpha_1_l1_0.5,12,1012,124,2022,2023,0.9694655982121925,1.0004935864936766,0.03102798828148412,1.1741034757702178,1.188085626133415,0.013982150363197166,False,3.0020466756086286,2.98748804778912,0.599780953940806,0.6036533199788989,0.888905696166161,0.8898153904161508
subb,same_sample_nested,main_on_subb,Main controls on SUBB sample,elastic_net_alpha_1_l1_0.2,9,main_plus_subb,Main controls plus SUBB predictors,elastic_net_alpha_1_l1_0.8,14,2190,109,2021,2023,0.9723753166009826,0.9579392714270419,-0.014436045173940704,1.1933115377528114,1.2499380148730832,0.0566264771202718,False,2.6093536844433234,2.6337790095139253,0.6565214024460992,0.6500609195145073,0.7995490879591569,0.872305350876684
subc,same_sample_nested,main_on_subc,Main controls on SUBC sample,elastic_net_alpha_1_l1_0.2,9,main_plus_subc,Main controls plus SUBC predictors,lasso_alpha_1,10,918,40,2019,2021,1.7807289546856535,1.9603114366582637,0.17958248197261018,1.85178268213374,2.047999773940087,0.19621709180634705,False,3.0297345389904278,3.2920183061250925,0.6786657621164259,0.6206218372442165,0.7382248767275503,0.8167164386415723
