analysis,panel_id,best_model,rows,countries,feature_columns,test_rows,test_countries,test_year_start,test_year_end,test_mae,test_rmse,test_oos_r2_vs_train_mean,test_spearman,comparison_note
primary_median_imputed_all_rows,main,elastic_net_alpha_1_l1_0.2,2612,174,9,312,128,2021,2023,1.0384557278659492,2.416171730187962,0.6588600848860342,0.8382202193375337,Primary model uses all rows with train-fold median imputation.
complete_case_refit,main_complete_case,elastic_net_alpha_1_l1_0.2,1391,99,9,162,84,2021,2023,1.2310625996058013,2.6806327403398478,0.645879722585992,0.809693137949459,"Rows with any missing active predictor are dropped, then the model is rerun using the primary train/validation/test years."
missingness_indicator_refit,main_missingness_indicator,elastic_net_alpha_1_l1_0.2,2612,174,18,312,128,2021,2023,1.0384557278659492,2.416171730187962,0.6588600848860342,0.8382202193375337,Adds one binary missingness indicator per active predictor while preserving the original train-fold median imputation pipeline.
