model_stage,model,prediction_rule,includes_main_predictors,includes_target_history,uses_test_labels,validation_mae,validation_rmse,test_mae,test_rmse,test_oos_r2_vs_train_mean,test_spearman,n_test,test_year_start,test_year_end,comparison_note
history_only_baseline,country_last_pretest_holdconstant,country latest observed train+validation target held constant,False,True,False,,,0.3118602401339744,1.5534402797740023,0.8589847558580282,0.9396713041005564,312,2021,2023,Standalone historical target baseline; not part of the main model.
persistence_augmented_linear,lasso_alpha_0.1,main predictors plus block-safe target history feature,True,True,False,0.15205279661448934,0.6141485543966277,0.3585630063734338,1.4422670876319315,0.878446260001838,0.9228090828332921,312,2021,2023,Augmented comparison model; not a replacement for the feature-only main model.
feature_only_linear,elastic_net_alpha_1_l1_0.2,main predictors only; no lagged target predictor,True,False,False,0.808687243765443,1.804720685185077,1.0384557278659492,2.416171730187962,0.6588600848860342,0.8382202193375337,312,2021,2023,Primary feature-only model selected by validation MAE.
