source_feature,indicator_feature,missing_rows,missing_share,original_missing_values_preserved
gdp_constant_2015_usd_lag1_3_mean,missing__gdp_constant_2015_usd_lag1_3_mean,15,0.005742725880551302,True
renewable_energy_share_lag1_3_mean,missing__renewable_energy_share_lag1_3_mean,102,0.03905053598774885,True
wgi_regulatory_quality_lag1_3_mean,missing__wgi_regulatory_quality_lag1_3_mean,551,0.21094946401225115,True
co2_per_capita_ar5_lag1_3_mean,missing__co2_per_capita_ar5_lag1_3_mean,41,0.01569678407350689,True
fdi_net_inflows_lag1_3_mean,missing__fdi_net_inflows_lag1_3_mean,72,0.027565084226646247,True
env_technology_rta_lag1_3_mean,missing__env_technology_rta_lag1_3_mean,672,0.2572741194486983,True
scientific_journal_articles_lag1_3_mean,missing__scientific_journal_articles_lag1_3_mean,56,0.021439509954058193,True
trade_openness_lag1_3_mean,missing__trade_openness_lag1_3_mean,48,0.018376722817764167,True
inflation_lag1_3_mean,missing__inflation_lag1_3_mean,173,0.06623277182235834,True
