country_code,country_name,year,env_patent_share_inventions,rd_expenditure_gdp_lag1,rd_expenditure_gdp_lag1_3_mean,env_co_invention_share_lag1,env_co_invention_share_lag1_3_mean,energy_imports_net_lag1,energy_imports_net_lag1_3_mean,researchers_per_million_lag1,researchers_per_million_lag1_3_mean,environmental_tax_revenue_lag1,environmental_tax_revenue_lag1_3_mean
CUB,Cuba,2004,0.004350664,0.58243,0.5707266666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,Cuba,2005,0.001342462,0.60231,0.5830633333333334,3.333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,Cuba,2006,0.02192181,0.5492,0.57798,5.454545,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CUB,Cuba,2007,0.003339344,0.44139,0.5309666666666667,9.302325,6.030067666666667,49.7923691454491,NaN,NaN,NaN,NaN,NaN
CUB,Cuba,2008,0.003206053,0.43615,0.47558000000000006,11.53846,8.76511,47.9184720113528,NaN,NaN,NaN,NaN,NaN
CUB,Cuba,2009,0.00287472,0.50061,0.4593833333333333,5.263158,8.701314333333334,51.2446140095779,49.65181838879327,NaN,NaN,NaN,NaN
CUB,Cuba,2010,0.0002776667,0.61485,0.5172033333333333,3.333333,6.711650333333334,55.537393943701,51.56682665487724,NaN,NaN,NaN,NaN
CUB,Cuba,2011,0.0002606468,0.60767,0.5743766666666666,8.571428,5.722639666666666,61.5043321841438,56.095446712474235,NaN,NaN,NaN,NaN
CUB,Cuba,2012,0.003057403,0.27192,0.4981466666666667,5.405406,5.770055666666667,57.4103613439155,58.1506958239201,NaN,NaN,NaN,NaN
CUB,Cuba,2013,0.002308509,0.40716,0.42891666666666667,NaN,NaN,58.1701021022561,59.02826521010513,NaN,NaN,NaN,NaN
CUB,Cuba,2017,0.0007164453,0.34223,0.39557666666666663,7.692307,NaN,58.75061809063,55.92542886384367,NaN,NaN,NaN,NaN
CUB,Cuba,2019,0.002092532,0.53691,0.43660000000000004,5.263158,10.985155,50.3939463536692,54.79446517929074,2053.96588,NaN,NaN,NaN
CUB,Cuba,2023,0.002312085,0.36032,0.4005066666666666,NaN,NaN,62.8133332274217,58.18186145961928,2079.08182,2100.2311133333333,NaN,NaN
CYP,Cyprus,1999,0.009775808,0.20331,NaN,NaN,NaN,NaN,NaN,349.5183,NaN,2.29364891586771,2.3576746944713203
CYP,Cyprus,2000,0.01327719,0.21806,NaN,NaN,NaN,NaN,NaN,407.11007,NaN,2.26478697076353,2.266686020711793
CYP,Cyprus,2001,0.01881417,0.2269,0.21609,NaN,NaN,NaN,NaN,438.81436,398.48091,2.46908919301557,2.34250835988227
CYP,Cyprus,2002,0.01307873,0.23694,0.22730000000000003,10.0,NaN,NaN,NaN,477.38582,441.10341666666665,2.74505329184924,2.492976485209447
CYP,Cyprus,2003,0.006457445,0.27967,0.24783666666666668,NaN,NaN,NaN,NaN,616.5499,510.91669333333334,2.71196430074935,2.6420355952047196
CYP,Cyprus,2005,0.01443147,0.33564,0.31121666666666664,NaN,NaN,NaN,NaN,806.48173,703.19179,3.62792634326674,3.2665072819186562
CYP,Cyprus,2006,0.008829619,0.36727,0.34041666666666665,NaN,NaN,NaN,NaN,930.33788,807.7877833333333,3.31932295583717,3.46896016694793
CYP,Cyprus,2007,0.009461476,0.38346,0.36212333333333335,NaN,NaN,NaN,NaN,1005.35878,914.0594633333334,3.08875,3.3453330997013033
CYP,Cyprus,2008,0.01763329,0.40007,0.3836,NaN,NaN,NaN,NaN,1054.20653,996.6343966666667,3.14020427754416,3.182759077793777
CYP,Cyprus,2009,0.009582399,0.38594,0.38982333333333336,23.52941,NaN,NaN,NaN,1038.21427,1032.5931933333334,3.02057913790473,3.08317780514963
CYP,Cyprus,2010,0.008746501,0.44437,0.4101266666666667,26.31579,NaN,NaN,NaN,1095.4538,1062.6248666666665,2.78439666943321,2.9817266949607
CYP,Cyprus,2011,0.002345821,0.44292,0.42440999999999995,35.71429,28.51983,NaN,NaN,1104.81725,1079.4951066666667,2.74599077506681,2.850322194134917
CYP,Cyprus,2012,0.003898188,0.45263,0.44664,NaN,NaN,NaN,NaN,1091.99036,1097.42047,2.74698994732844,2.7591257972761536
