panel_id,imputation,recommended_use,prediction_safe,anchor_variable,predictor_window_start,predictor_window_end,target_year_start,target_year_end,anchor_countries,anchor_year_grid_rows,target_missing_rows_dropped,countries,rows,target_non_missing,lag1_complete_rows,lag1_3_mean_complete_rows,target_lag1_complete_rows,target_lag1_complete_countries,target_lag1_3_mean_complete_rows,target_lag1_3_mean_complete_countries,lag1_complete_target_missing_rows,lag1_3_mean_complete_target_missing_rows,lag1_feature_non_missing_min,lag1_3_feature_non_missing_min,imputed_values_total,file_name
main,no_imputation,primary_prediction_analysis_base,True,fossil_energy_share,1996,2022,1999,2023,141,3525,1022,138,2503,2503,944,670,944,103,670,77,0,0,1707,1644,0,model_panel_main_no_imputation.csv
main,linear_interpolated,retrospective_sensitivity_not_for_prediction,False,fossil_energy_share,1996,2022,1999,2023,141,3525,1022,138,2503,2503,1244,1112,1244,115,1112,110,0,0,1745,1741,1402,model_panel_main_linear_interpolated.csv
suba,no_imputation,primary_prediction_analysis_base,True,rise_energy_efficiency,2010,2023,2013,2023,140,1540,509,128,1031,1031,962,926,962,120,926,116,0,0,962,926,0,model_panel_suba_no_imputation.csv
suba,linear_interpolated,retrospective_sensitivity_not_for_prediction,False,rise_energy_efficiency,2010,2023,2013,2023,140,1540,509,128,1031,1031,971,952,971,120,952,117,0,0,971,952,24,model_panel_suba_linear_interpolated.csv
subb,no_imputation,primary_prediction_analysis_base,True,env_co_invention_share,1996,2022,1999,2023,120,3000,648,119,2352,2352,1036,878,1036,66,878,48,0,0,1471,1234,0,model_panel_subb_no_imputation.csv
subb,linear_interpolated,retrospective_sensitivity_not_for_prediction,False,env_co_invention_share,1996,2022,1999,2023,120,3000,648,119,2352,2352,1249,1179,1249,68,1179,63,0,0,1708,1621,1019,model_panel_subb_linear_interpolated.csv
subc,no_imputation,primary_prediction_analysis_base,True,eps_index,1990,2020,1993,2021,40,1160,6,40,1154,1154,1154,1154,1154,40,1154,40,0,0,1154,1154,0,model_panel_subc_no_imputation.csv
subc,linear_interpolated,retrospective_sensitivity_not_for_prediction,False,eps_index,1990,2020,1993,2021,40,1160,6,40,1154,1154,1154,1154,1154,40,1154,40,0,0,1154,1154,0,model_panel_subc_linear_interpolated.csv
